SubjectID,StimulusType,response,RT
8,1,1,1015
8,1,1,454
8,0,0,0
8,0,0,0
8,0,0,0
8,1,1,352
8,1,1,334
8,0,0,0
8,1,1,333
8,1,1,385
8,0,0,0
8,1,1,337
8,1,1,350
8,1,1,319
8,1,1,363
8,1,1,285
8,1,1,351
8,1,1,369
8,1,1,402
8,1,1,347
8,1,1,404
8,1,1,366
8,1,1,367
8,0,0,0
8,1,1,319
8,1,1,366
8,1,1,383
8,1,1,333
8,1,1,354
8,0,0,0
8,1,1,299
8,1,1,383
8,1,1,321
8,0,0,0
8,1,1,366
8,1,1,346
8,0,0,0
8,1,1,366
8,1,1,351
8,1,1,332
8,1,1,317
8,1,1,348
8,1,1,331
8,1,1,302
8,1,1,332
8,0,0,0
8,1,1,420
8,1,1,284
8,0,0,0
8,1,1,283
8,1,1,298
8,0,0,0
8,1,1,272
8,1,1,270
8,1,1,300
8,1,1,303
8,0,0,0
8,1,1,270
8,1,1,315
8,1,1,301
8,1,1,284
8,1,1,337
8,1,1,267
8,0,0,0
8,1,1,352
8,1,1,283
8,1,1,316
8,0,0,0
8,1,1,268
8,1,1,233
8,1,1,320
8,1,1,299
8,0,0,0
8,1,1,300
8,1,1,285
8,1,1,231
8,1,1,233
8,1,1,266
8,0,0,0
8,1,1,271
8,1,1,301
8,1,1,287
8,1,1,284
8,1,1,319
8,1,1,249
8,1,1,84
8,1,1,284
8,0,1,50
8,1,1,416
8,1,1,316
8,1,1,301
8,1,1,353
8,0,0,0
8,1,1,313
8,0,0,0
8,1,1,285
8,1,1,353
8,1,1,282
8,1,1,302
8,1,1,383
