SubjectID,StimulusType,response,RT
participant2,1,1,1460
participant2,1,1,815
participant2,1,1,732
participant2,0,0,0
participant2,1,1,763
participant2,1,0,0
participant2,1,0,0
participant2,1,1,390
participant2,1,1,409
participant2,1,1,391
participant2,1,1,458
participant2,1,1,356
participant2,1,1,392
participant2,1,1,322
participant2,1,1,388
participant2,0,1,288
participant2,1,1,442
participant2,1,1,476
participant2,1,1,475
participant2,1,1,424
participant2,1,1,391
participant2,1,1,442
participant2,1,1,409
participant2,1,1,373
participant2,1,1,391
participant2,1,1,390
participant2,1,1,408
participant2,1,1,409
participant2,1,1,341
participant2,1,1,408
participant2,1,1,324
participant2,0,0,0
participant2,0,0,0
participant2,0,0,0
participant2,1,1,510
participant2,0,0,0
participant2,1,1,477
participant2,1,1,442
participant2,1,1,340
participant2,1,1,340
participant2,0,0,0
participant2,1,1,375
participant2,1,1,391
participant2,1,1,358
participant2,1,1,357
participant2,1,1,324
participant2,1,1,358
participant2,1,1,307
participant2,1,1,340
participant2,1,1,323
participant2,1,1,358
participant2,1,1,340
participant2,0,0,0
participant2,1,1,426
participant2,1,1,458
participant2,1,1,374
participant2,1,1,339
participant2,0,0,0
participant2,1,1,324
participant2,1,1,339
participant2,1,1,324
participant2,1,1,374
participant2,1,1,426
participant2,1,1,340
participant2,1,1,358
participant2,1,1,340
participant2,0,0,0
participant2,0,0,0
participant2,0,0,0
participant2,1,1,407
participant2,1,1,324
participant2,0,0,0
participant2,1,1,322
participant2,0,0,0
participant2,1,1,340
participant2,1,1,357
participant2,1,1,324
participant2,1,1,323
participant2,0,0,0
participant2,1,1,354
participant2,1,1,324
participant2,1,1,323
participant2,1,1,322
participant2,1,1,357
participant2,1,1,391
participant2,1,1,339
participant2,0,0,0
participant2,1,1,339
participant2,1,1,307
participant2,0,0,0
participant2,1,1,357
participant2,1,1,375
participant2,0,0,0
participant2,0,0,0
participant2,1,1,374
participant2,1,1,357
participant2,1,1,409
participant2,0,0,0
participant2,1,1,323
participant2,1,1,392
